num_palavras,num_frases,media_palavras_frase,diversidade_lexical_ttr,num_verbos,num_substantivos,num_adjetivos,num_adverbios,num_conjuncoes,score
220.0,9.0,24.444444444444443,0.6545454545454545,29.0,57.0,14.0,13.0,12.0,0
154.0,5.0,30.8,0.6038961038961039,17.0,27.0,14.0,6.0,17.0,0
144.0,10.0,14.4,0.6041666666666666,23.0,34.0,12.0,9.0,19.0,0
269.0,9.0,29.88888888888889,0.5762081784386617,38.0,59.0,26.0,14.0,22.0,0
210.0,7.0,30.0,0.5333333333333333,24.0,48.0,22.0,9.0,11.0,0
104.0,6.0,17.333333333333332,0.6057692307692307,10.0,31.0,11.0,11.0,7.0,0
255.0,11.0,23.181818181818183,0.5333333333333333,44.0,61.0,10.0,14.0,25.0,0
133.0,5.0,26.6,0.7293233082706767,21.0,36.0,5.0,8.0,13.0,0
331.0,15.0,22.066666666666666,0.6193353474320241,53.0,63.0,24.0,25.0,23.0,0
206.0,7.0,29.428571428571427,0.6504854368932039,19.0,58.0,15.0,6.0,10.0,0
232.0,8.0,29.0,0.6810344827586207,33.0,61.0,16.0,11.0,13.0,0
231.0,9.0,25.666666666666668,0.6363636363636364,27.0,64.0,18.0,14.0,13.0,0
148.0,7.0,21.142857142857142,0.6891891891891891,26.0,35.0,8.0,9.0,10.0,0
190.0,12.0,15.833333333333334,0.6578947368421053,37.0,33.0,4.0,18.0,18.0,0
180.0,11.0,16.363636363636363,0.75,26.0,52.0,10.0,11.0,9.0,0
311.0,7.0,44.42857142857143,0.662379421221865,49.0,64.0,40.0,24.0,15.0,0
290.0,4.0,72.5,0.6241379310344828,36.0,73.0,18.0,22.0,21.0,0
259.0,5.0,51.8,0.6293436293436293,37.0,66.0,26.0,12.0,18.0,0
295.0,10.0,29.5,0.5728813559322034,60.0,61.0,19.0,13.0,24.0,0
266.0,9.0,29.555555555555557,0.5902255639097744,33.0,81.0,20.0,14.0,18.0,0
182.0,8.0,22.75,0.7197802197802198,29.0,39.0,10.0,10.0,12.0,0
252.0,11.0,22.90909090909091,0.6031746031746031,33.0,60.0,30.0,19.0,23.0,0
220.0,9.0,24.444444444444443,0.6409090909090909,20.0,56.0,26.0,15.0,17.0,0
144.0,7.0,20.571428571428573,0.6319444444444444,21.0,42.0,5.0,8.0,9.0,0
183.0,8.0,22.875,0.6010928961748634,24.0,41.0,15.0,14.0,13.0,0
260.0,5.0,52.0,0.5038461538461538,24.0,78.0,18.0,18.0,24.0,0
213.0,19.0,11.210526315789474,0.6807511737089202,30.0,40.0,16.0,16.0,20.0,0
204.0,5.0,40.8,0.6323529411764706,31.0,52.0,13.0,15.0,18.0,0
223.0,15.0,14.866666666666667,0.6547085201793722,31.0,51.0,14.0,17.0,17.0,0
221.0,11.0,20.09090909090909,0.6108597285067874,30.0,71.0,9.0,9.0,10.0,0
124.0,5.0,24.8,0.6451612903225806,19.0,31.0,4.0,5.0,15.0,0
280.0,11.0,25.454545454545453,0.6607142857142857,36.0,71.0,24.0,14.0,23.0,0
200.0,7.0,28.571428571428573,0.64,23.0,55.0,21.0,14.0,9.0,0
159.0,6.0,26.5,0.610062893081761,20.0,38.0,6.0,5.0,18.0,0
161.0,8.0,20.125,0.6335403726708074,26.0,30.0,10.0,10.0,16.0,0
198.0,8.0,24.75,0.6262626262626263,24.0,42.0,15.0,10.0,12.0,0
159.0,8.0,19.875,0.5094339622641509,26.0,42.0,10.0,7.0,10.0,0
255.0,7.0,36.42857142857143,0.6,33.0,66.0,21.0,16.0,15.0,0
132.0,6.0,22.0,0.7348484848484849,26.0,28.0,12.0,7.0,11.0,0
180.0,8.0,22.5,0.5833333333333334,29.0,39.0,5.0,18.0,16.0,0
207.0,8.0,25.875,0.6811594202898551,25.0,63.0,8.0,14.0,21.0,0
135.0,8.0,16.875,0.6296296296296297,22.0,30.0,7.0,10.0,17.0,0
259.0,17.0,15.235294117647058,0.61003861003861,41.0,74.0,11.0,14.0,12.0,0
231.0,6.0,38.5,0.48917748917748916,32.0,27.0,10.0,16.0,27.0,0
274.0,5.0,54.8,0.6313868613138686,32.0,68.0,31.0,14.0,22.0,0
215.0,13.0,16.53846153846154,0.641860465116279,29.0,55.0,17.0,13.0,15.0,0
251.0,6.0,41.833333333333336,0.5657370517928287,38.0,54.0,15.0,16.0,23.0,0
194.0,5.0,38.8,0.6958762886597938,32.0,52.0,3.0,6.0,15.0,0
